Sensor1 on time, Sensor2 on time, sensor3 on time
07:30 - 09:15, 06:45 - 07:12, 08:24 - 09:11
07:30 - 09:15, 06:45 - 07:12, 08:24 - 09:11
07:30 - 09:15, 06:45 - 07:12
07:30 - 09:15, 06:45 - 07:12
07:30 - 09:15, 06:45 - 07:12
07:30 - 09:15
07:30 - 09:15
07:30 - 09:15
